#{"t_start": 1755854826.2525046, "env_id": "None"}
r,l,t
9901.416958,3,1.258226
343.455906,5,1.265485
-5539.857365,3,1.26996
-5147.572357,4,1.274534
-5147.582,4,1.281313
-5656.580048,5,1.287313
-20656.569793,5,1.295315
411.159798,4,1.302313
-5116.725828,3,1.308313
-5116.72692,3,1.315313
343.425731,5,1.322313
-5607.579552,4,1.328315
-20656.568293,5,1.335312
-5098.586506,3,1.338312
-5576.723935,3,1.342313
-5079.854093,3,1.346313
-5656.57231,5,1.353312
-5607.585743,4,1.360312
392.438305,4,1.365315
-5557.996518,3,1.369315
-5607.579454,4,1.375316
343.428659,5,1.381823
852.424274,4,1.386823
-5116.724404,3,1.390942
-5588.851222,4,1.397078
-5079.856948,3,1.401497
9343.419795,5,1.409497
852.425582,4,1.415496
-5098.580377,3,1.419497
9920.141332,3,1.423497
-5625.721755,4,1.428496
-5656.579987,5,1.434496
-5079.855157,3,1.437496
343.432105,5,1.444421
-5557.995922,3,1.448421
-5557.997925,3,1.452421
9442.001852,3,1.455421
9920.146843,3,1.459894
343.457068,5,1.4659
9883.273273,3,1.472132
9920.144337,3,1.476577
-5656.575569,5,1.482583
852.424076,4,1.487901
9343.420368,5,1.495591
-20588.847796,4,1.500753
343.441493,5,1.506768
374.282404,4,1.512895
-5539.856013,3,1.517045
9343.425441,5,1.523045
343.445654,5,1.529536
-5656.576588,5,1.537144
9852.418859,4,1.543652
-5607.57863,4,1.548898
374.28635,4,1.553899
-5656.577746,5,1.561051
-5576.723949,3,1.565062
-5116.726213,3,1.568061
9423.273337,3,1.572062
-5656.565012,5,1.581906
-5539.85868,3,1.585906
920.149197,3,1.588906
-5607.586499,4,1.594905
-5656.581539,5,1.600905
343.457462,5,1.607905
-5116.723059,3,1.613905
343.457115,5,1.620906
343.440222,5,1.628908
-20656.575663,5,1.636908
9901.412748,3,1.640907
411.157392,4,1.646904
-5607.574682,4,1.651905
-5557.993886,3,1.655905
-20656.570022,5,1.662908
343.439616,5,1.670908
-5656.582143,5,1.678415
-20588.843922,4,1.685416
343.427573,5,1.694416
392.420708,4,1.700415
392.424744,4,1.706475
-5539.85613,3,1.710647
423.283268,3,1.715266
-5147.578014,4,1.721282
-5588.850017,4,1.727281
-5576.7261,3,1.732282
374.288958,4,1.739281
343.428148,5,1.746282
-5656.575988,5,1.754282
9343.421737,5,1.76229
-5576.726886,3,1.767293
-5557.996885,3,1.771292
9343.423809,5,1.777953
-5147.584782,4,1.783167
9442.001194,3,1.787166
-5079.856443,3,1.791285
-5079.857131,3,1.795296
-5147.579797,4,1.804295
-5607.577151,4,1.810295
-5656.57304,5,1.817567
343.435743,5,1.824768
-5588.854636,4,1.83134
-20116.7189,3,1.836779
9423.275506,3,1.84078
-5656.573481,5,1.850168
852.440702,4,1.857167
374.289802,4,1.862176
883.289178,3,1.867668
343.429481,5,1.874083
-5656.576481,5,1.882591
-5079.856723,3,1.88659
343.469575,5,1.892763
-5079.853294,3,1.896772
-5539.851576,3,1.900772
-5656.57081,5,1.910153
343.451396,5,1.916153
343.428215,5,1.923466
-5539.855018,3,1.928733
-5588.849778,4,1.934729
-5656.575224,5,1.942454
-5656.579046,5,1.948453
-5539.855862,3,1.952843
411.151084,4,1.959843
423.278784,3,1.963846
-5656.580272,5,1.971846
-5625.720086,4,1.97735
343.428123,5,1.983354
-5656.573659,5,1.989353
-5607.581873,4,1.995354
-5656.574194,5,2.001354
343.42841,5,2.007354
-5079.852822,3,2.011355
343.433688,5,2.020354
-5656.574402,5,2.026354
9343.421224,5,2.033354
343.441163,5,2.039354
-5656.57938,5,2.047354
