Model,Accuracy (%),AUROC,AUPRC,Avg Cost ($),Avg # Tests
rule_order_all,82.024,,,,
unc-0.3_cost-2.0,81.27,0.489,0.184,131.204,2.104
unc-0_cost-2.0,81.27,0.493,0.184,142.233,2.14
unc-0.05_cost-1.0,81.27,0.489,0.183,123.981,2.072
unc-0.05_cost-2.0,81.27,0.493,0.183,117.415,2.054
unc-0.1_cost-1.0,81.27,0.492,0.184,120.233,2.058
masked_final_maskable_patched,81.27,0.505,0.19,554.621,2.274
unc-0_cost-1.0,81.27,0.495,0.185,118.352,2.054
ablation_no_transformer,81.23,0.498,0.185,99.697,2.004
unc-0.05_cost-1.5,81.23,0.499,0.189,131.521,2.078
masked_final,81.19,0.495,0.195,561.982,2.313
unc-0.3_cost-1.5,81.19,0.479,0.179,157.487,2.115
ablation_no_gain,81.19,0.473,0.177,122.334,2.01
final_reproducible,81.19,0.47,0.176,142.151,2.077
unc-0.1_cost-1.5,81.19,0.491,0.184,129.372,2.088
unc-0.1_cost-2.0,81.19,0.485,0.18,156.972,2.115
unc-0.3_cost-1.0,81.19,0.475,0.179,139.389,2.073
unc-0_cost-1.5,81.19,0.496,0.185,134.747,2.091
ablation_no_masking,80.913,0.482,0.176,331.563,4.938
heuristic_classifier_policy,80.04,,,,
rule_order_nothing,19.167,,,,
xgboost,0.823,0.8,0.541,,
logreg,0.725,0.786,0.512,,
