feature,ks_stat,p_value,mean_train,mean_val,p_adj_bh
creatinine_max,0.03721473404392128,9.80784334079078e-15,0.06267339297802695,0.01208886480149382,5.14856516874584e-13
ptt_max,0.03720938968168086,9.90108686297277e-15,0.01827153058226338,-0.030119374140283903,5.14856516874584e-13
creatinine_mean,0.03354587418825594,4.716725888657969e-12,0.061435892842606976,0.008177272644646164,1.635131641401429e-10
creatinine_min,0.03242738900695408,2.7285993157154918e-11,0.05884849707322366,0.003811071078647438,5.720752065149491e-10
ptt_mean,0.03242223919323206,2.750361569783409e-11,0.018068058980276667,-0.02424648166956046,5.720752065149491e-10
ptt_min,0.030850436890693667,2.929360953915114e-10,0.0151199756952777,-0.010288004437337616,5.0775589867861984e-09
bun_max,0.029733630167197544,1.4646185426676314e-09,0.05001292080708963,0.0038694566921966653,2.1760046919633378e-08
bun_min,0.029586008849514345,1.8037827601692966e-09,0.04573291251430259,-0.0027851312112261674,2.3449175882200855e-08
pt_max,0.02808151461232411,1.4204561288487273e-08,0.019830693603539326,-0.002361180426780069,1.641415971114085e-07
pt_mean,0.027950628281899426,1.6911673287634586e-08,0.019348027001787508,-0.0007710402778233882,1.758814021913997e-07
inr_max,0.027845121950101803,1.945348268884232e-08,0.019652707416972323,-0.006183120059124802,1.8392383633087281e-07
bun_mean,0.026995519033593762,5.892504861425156e-08,0.04841371292498408,0.000797264801212179,5.106837546568468e-07
inr_min,0.026899173648206376,6.667120575908376e-08,0.016481784362254448,-0.0031262525737501194,5.333696460726701e-07
gender,0.026028804584698306,1.9943726286691693e-07,0.011547185124037794,-0.013323619893117354,1.4815339527256686e-06
inr_mean,0.025963258900046138,2.16276429350954e-07,0.01883162637134666,-0.004337158493706094,1.4995165768332811e-06
hemoglobin_min,0.025204371859591734,5.44658777099376e-07,-0.041071036011600295,-0.0008725848864003561,3.5402820511459442e-06
phosphate_max,0.024554665638392592,1.1751078957063653e-06,0.04927497448699297,0.006689960528588294,7.188895361968353e-06
rbc_mean,0.024390297889420265,1.4229238296586747e-06,-0.036339579801279116,-0.0022857957150204692,8.073703878583163e-06
lactate_max,0.024359296964482247,1.4750035932026934e-06,-0.00041499222092107135,-0.0038935873932060185,8.073703878583163e-06
rbc_min,0.02395747225845174,2.3407079155834205e-06,-0.04060707232148579,-0.005051114139188772,1.2171681161033786e-05
aniongap_max,0.023402354763959132,4.3744566703004756e-06,0.035704713025279236,-0.006046539940372255,2.165179294231472e-05
hemoglobin_mean,0.023361037045531163,4.580186968566575e-06,-0.03681370199021166,0.0021527824090332615,2.165179294231472e-05
phosphate_mean,0.023106346332218752,6.069268378583108e-06,0.04912454725801268,0.009954673355088,2.7236546419688706e-05
alp_max,0.02307061234700236,6.3122136112384565e-06,0.008728620200368192,-0.012501962518893416,2.7236546419688706e-05
bilirubin_total_min,0.023037277793512945,6.547246735502093e-06,0.018674736156481627,0.00032405572826811456,2.7236546419688706e-05
bilirubin_total_max,0.022750391207745135,8.94853581089359e-06,0.020128889029573865,0.0016410584352321218,3.579414324357436e-05
ast_max,0.022306567863472293,1.4398742302665212e-05,0.014564162201432569,-0.008461764237859494,5.3655372194692825e-05
lactate_mean,0.022303500863299908,1.4445677129340376e-05,-0.00040867127477259914,-0.0038940605200316883,5.3655372194692825e-05
base_excess_mean,0.02181497236757296,2.4120305031605663e-05,-0.013869379101061122,0.001709301884789591,8.516327208557449e-05
bilirubin_total_mean,0.02179730946017533,2.456632848622341e-05,0.019354386583531044,0.0009447042914259108,8.516327208557449e-05
hematocrit_mean,0.021643013411706602,2.8812397009990463e-05,-0.034683918876394555,0.002278702214187305,9.666094480770995e-05
base_excess_min,0.021540198334413452,3.2021659399399785e-05,-0.019460159028980375,-0.0053330360081891145,0.0001040703930480493
ast_mean,0.021448363804378978,3.5174293916439525e-05,0.014790431929898823,-0.007290441617050891,0.00011085232022150639
ast_min,0.021215442498073056,4.455321594532931e-05,0.014532186074067012,-0.005037557628035891,0.00013303013936319545
alp_mean,0.021210637912604136,4.476975843953693e-05,0.007873170534096455,-0.01225420952494856,0.00013303013936319545
pt_min,0.021110998553772964,4.949324871233595e-05,0.016748962857079448,6.394619000910726e-05,0.00014298049628008164
alp_min,0.02104919029874619,5.26580512329698e-05,0.006954607717114673,-0.011811973507893913,0.00014801181968186107
base_excess_max,0.02093390408922266,5.9083137755735214e-05,-0.005550256674310688,0.0006975169268945993,0.00016170121912095954
sodium_min,0.020830336566924568,6.548561844094644e-05,-0.01806049666452968,-0.001351083710544434,0.00017462831584252384
hematocrit_min,0.020690357000603454,7.519441377775563e-05,-0.03868814782347417,-0.0015585540998825243,0.00019550547582216463
lactate_min,0.02057817784535887,8.39477429533919e-05,0.009775349778466563,0.0036830841787740608,0.00021294061627201847
ph_max,0.020132370869133775,0.00012926873516322065,-0.0013946613278143225,0.0045859306162744345,0.0003200940108803559
ph_min,0.020088042417016727,0.0001348687998005785,-0.022338596201718002,-0.0018637019231791268,0.0003261943064944224
aniongap_mean,0.01978930458400352,0.00017905047573174072,0.032187455623811846,-0.0046091923845003584,0.0004232102153659326
temperature_c_min,0.01966820576065853,0.0002006026575146465,-0.004105033685765041,-0.0026794798137261392,0.0004636150307005163
hemoglobin_max,0.01961597425181638,0.0002106363525145736,-0.02998219788384443,0.004341952221138754,0.0004756452668701537
ph_mean,0.019594213427832796,0.00021495507252785792,-0.013472222918400925,0.003358784718757328,0.0004756452668701537
magnesium_max,0.019017773797192272,0.0003649872809383203,0.02156234983450486,0.015790815360609018,0.0007908057753663605
o2_saturation_min,0.018512757314531475,0.0005728999844128687,-0.017822237395551027,0.02119066657601068,0.0012159509873252723
bicarbonate_min,0.018451561315136034,0.0006045711967229212,-0.023217491311822835,0.0033368932627463534,0.001257508089183676
chloride_min,0.01812825887066835,0.0008009804257924595,-0.021448706220215306,0.0015315533680293199,0.0016333718486748194
hematocrit_max,0.018052486991100847,0.0008549554717074234,-0.027942823880336483,0.004181978273252012,0.0017099109434148467
phosphate_min,0.017946493334338176,0.000936186301308411,0.04168254279238662,0.011219813513316804,0.0018370448176617878
o2_saturation_max,0.017864713338761495,0.0010037313825503377,-0.011256589270354661,0.02285960969168216,0.0019331122923191687
aniongap_min,0.017453942261892563,0.0014174139520662643,0.023509681761537497,-0.0033325705007712586,0.0026802009275434815
rbc_max,0.017300412963467016,0.0016092399492093807,-0.02975365506772078,-0.0003248184318124366,0.0029885884771031356
o2_saturation_mean,0.017013023794026694,0.0020346906911418625,-0.014892024479296941,0.026434624058446096,0.00371241810313603
heart_rate_max,0.016834605636615874,0.0023490288951215107,0.0009869395952930096,-0.004985050290380787,0.004212051811942019
sodium_mean,0.016698466496194553,0.002618495713045393,-0.014299739279511402,0.000689686905911124,0.004615653460283405
glucose_max,0.016450580212679866,0.0031837996026649,0.012330033684906904,-0.0018296003486713034,0.005518585977952493
alt_min,0.016293021661851315,0.0035995265443927353,0.011454715603672007,-0.0036817598621404547,0.006063712391395582
potassium_max,0.01628752089786062,0.0036149054641012126,0.03564858406197727,0.0174031963436775,0.006063712391395582
bicarbonate_mean,0.016169982121668314,0.003958323800066325,-0.018578646560275455,0.0014869041844088864,0.006534375796934886
alt_max,0.016089225413151498,0.004211397075783145,0.010291448716418797,-0.0036854279143348316,0.006843520248147611
sbp_mean,0.015847954732931435,0.005058660348438362,-0.010192800438864022,-0.001291810383533391,0.008093856557501378
alt_mean,0.01576345773378174,0.005390534468290937,0.011468868161842494,-0.004143542618025874,0.00849417552579178
platelet_min,0.01564944467265056,0.005869948079751315,-0.018087628662848118,-0.004699538484801546,0.009111561198419951
dbp_max,0.015598660833665956,0.006095783333365525,-0.0019447443602578914,0.00871018207154345,0.009322962745147274
sodium_max,0.015321161213910528,0.007476151286304715,-0.00883790742969912,0.003059419486942592,0.011216985343891615
respiratory_rate_max,0.015307690636350346,0.007549893981465511,-0.0004533431301900518,0.0019062282213869,0.011216985343891615
dbp_mean,0.015265791179705612,0.007783519321071886,-0.0016509838877034454,-0.000542315650944481,0.011401211399879947
dbp_min,0.014896460844592507,0.010145456722013503,-0.0013340783502393556,-0.004003530026503215,0.01465454859846395
bicarbonate_max,0.014657187147693373,0.012004215191326542,-0.012163344156497214,-0.0022805871465153616,0.017101895615040552
